SampleID,Tissue,Factor,Condition,Par,Replicate,chipID,SRR_chip,inputID,SRR_input,bamReads,bamControl,Peaks,PeakCaller
M1A_K27_1,786-M1A,H3K27ac,metastatic,786,1,M1A_K27_1,SRR5461136,M1A_input1,SRR6238114,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/M1A_K27_1_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/M1A_input1_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/peaks/individual/M1A_K27_1_peaks.narrowPeak,narrow
M1A_K27_2,786-M1A,H3K27ac,metastatic,786,1,M1A_K27_2,SRR5461137,M1A_input1,SRR6238114,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/M1A_K27_2_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/M1A_input1_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/peaks/individual/M1A_K27_2_peaks.narrowPeak,narrow
M1A_K4me1_1,786-M1A,H3K4me1,metastatic,786,1,M1A_K4me1_1,SRR5461138,M1A_input2,SRR5461141,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/M1A_K4me1_1_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/M1A_input2_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/peaks/individual/M1A_K4me1_1_peaks.narrowPeak,narrow
M1A_K4me1_2,786-M1A,H3K4me1,metastatic,786,1,M1A_K4me1_2,SRR5461139,M1A_input2,SRR5461141,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/M1A_K4me1_2_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/M1A_input2_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/peaks/individual/M1A_K4me1_2_peaks.narrowPeak,narrow
786_K27_1,786-O,H3K27ac,nonmetastatic,786,1,786_K27_1,SRR5461144,786_Input1,SRR6238118,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/786_K27_1_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/786_Input1_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/peaks/individual/786_K27_1_peaks.narrowPeak,narrow
786_K27_2,786-O,H3K27ac,nonmetastatic,786,1,786_K27_2,SRR5461145,786_Input1,SRR6238118,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/786_K27_2_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/786_Input1_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/peaks/individual/786_K27_2_peaks.narrowPeak,narrow
786_K4me1_1,786-O,H3K4me1,nonmetastatic,786,1,786_K4me1_1,SRR5461146,786_input2,SRR5461149,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/786_K4me1_1_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/786_input2_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/peaks/individual/786_K4me1_1_peaks.narrowPeak,narrow
786_K4me1_2,786-O,H3K4me1,nonmetastatic,786,1,786_K4me1_2,SRR5461147,786_input2,SRR5461149,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/786_K4me1_2_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/786_input2_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/peaks/individual/786_K4me1_2_peaks.narrowPeak,narrow
LM1_K27_1,OS-LM1,H3K27ac,metastatic,OS,2,LM1_K27_1,SRR5461152,LM1_input1,SRR5461155,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/LM1_K27_1_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/LM1_input1_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/peaks/individual/LM1_K27_1_peaks.narrowPeak,narrow
LM1_K27_2,OS-LM1,H3K27ac,metastatic,OS,2,LM1_K27_2,SRR5461153,LM1_input1,SRR5461155,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/LM1_K27_2_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/LM1_input1_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/peaks/individual/LM1_K27_2_peaks.narrowPeak,narrow
OS_K27_1,OS-RC-2,H3K27ac,nonmetastatic,OS,2,OS_K27_1,SRR5461157,OS_input1,SRR5461160,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/OS_K27_1_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/OS_input1_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/peaks/individual/OS_K27_1_peaks.narrowPeak,narrow
OS_K27_2,OS-RC-2,H3K27ac,nonmetastatic,OS,2,OS_K27_2,SRR5461158,OS_input1,SRR5461160,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/OS_K27_2_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/bamfiles/OS_input1_blacklisted.bam,/rds/general/user/js6723/ephemeral/SRP104404/peaks/individual/OS_K27_2_peaks.narrowPeak,narrow
