Index,chipID,chip_file,inputID,input_file
1,M1A_K27_1,SRR5461136,M1A_input1,SRR6238114
2,M1A_K27_2,SRR5461137,M1A_input1,SRR6238114
3,M1A_K4me1_1,SRR5461138,M1A_input2,SRR5461141
4,M1A_K4me1_2,SRR5461139,M1A_input2,SRR5461141
5,M1A_p300_1,SRR5461143,M1A_input3,SRR5461142
6,786_K27_1,SRR5461144,786_Input1,SRR6238118
7,786_K27_2,SRR5461145,786_Input1,SRR6238118
8,786_K4me1_1,SRR5461146,786_input2,SRR5461149
9,786_K4me1_2,SRR5461147,786_input2,SRR5461149
10,LM1_K27_1,SRR5461152,LM1_input1,SRR5461155
11,LM1_K27_2,SRR5461153,LM1_input1,SRR5461155
12,OS_K27_1,SRR5461157,OS_input1,SRR5461160
13,OS_K27_2,SRR5461158,OS_input1,SRR5461160
